inputName,DEVICE,BOARD,FUNCTION,DATA_TYPE,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,V_VAL_29,V_VAL_30,V_VAL_31,V_VAL_32,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,M_VAL_33,M_VAL_34,M_VAL_35,M_VAL_36,M_VAL_37,M_VAL_38,M_VAL_39,M_VAL_40,M_VAL_41,M_VAL_42,M_VAL_43,M_VAL_44,M_VAL_45,M_VAL_46,M_VAL_47,M_VAL_48,M_VAL_49,M_VAL_50,M_VAL_51,M_VAL_52,M_VAL_53,M_VAL_54,M_VAL_55,M_VAL_56,M_VAL_57,M_VAL_58,M_VAL_59,M_VAL_60,M_VAL_61,M_VAL_62,M_VAL_63,M_VAL_64,M_VAL_65,M_VAL_66,M_VAL_67,M_VAL_68,M_VAL_69,M_VAL_70,M_VAL_71,M_VAL_72
11,RiscV,RiscV,floydwarshall,double,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RiscV,RiscV,floydwarshall,double,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.614640406171222e+18,2.3796359074781594e+18,1.4963505255688438e+18,6.293776356081664e+17,0.0,3.626295176399421e+18,0.0,0.0,2.694598434958082e+18,2.772614557384835e+18,2.9572467489442365e+18,2.363375504892887e+18,0.0,2.3707713698571223e+18,0.0,0.0,2.946290940207169e+18,3.361550093739098e+18,3.088631516515795e+18,1.4510766224666788e+18,0.0,1.1160228564513588e+18,0.0,0.0,4.489084974372225e+18,1.7396863301299732e+18,4.0190415544747295e+18,2.6292151513786614e+18,1.1466935615094784e+16,1.380397266254168e+18,0.0,0.0,4.511829746782306e+18,2.263914370239037e+18,2.6397094401099694e+18,9.124515083840388e+17,0.0,3.00915936581596e+18,0.0,0.0,3.453594885024645e+18,2.668508673298399e+18,3.1658290525356687e+18,1.4707308051300352e+18,0.0,1.0253036982317875e+17,0.0,0.0,3.323249705697149e+18,1.1662878551488594e+18,2.3110816323642327e+18,1.6900826876765798e+18,0.0,1.2552618478969815e+18,0.0,0.0,3.2215773157208883e+18,3.459913503471567e+18,2.4693835440953754e+18,2.0684085584367447e+18,0.0,4.666043536842424e+17,0.0,0.0,2.993976209748001e+18,2.03262907567938e+18,1.1286475176809596e+18,1.712771522432598e+18,0.0,2.583193992686469e+17,0.0,0.0
12,RiscV,RiscV,floydwarshall,double,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.418411612447441e+18,1.4835036942709555e+18,1.880851391069553e+18,1.3555459670042214e+18,0.0,3.560568776472658e+17,0.0,0.0,4.118901399532601e+18,9.40920338328322e+17,3.932972883764052e+18,2.072945143412949e+18,0.0,1.3385277260295045e+18,0.0,0.0,3.746226881100251e+18,1.1842941447600865e+18,3.769906238393942e+18,1.6350562538749952e+18,0.0,2.701563566242136e+18,0.0,0.0,5.489742260473954e+18,2.898331342515208e+18,2.468389035828052e+18,2.0057067088395635e+18,0.0,3.3737799615748506e+18,0.0,0.0,4.308128450184479e+18,1.5350006957473792e+18,1.809667771336753e+18,1.713470949266817e+18,0.0,2.384678817558954e+18,0.0,2.806550502739804e+17,6.422175399827997e+18,1.4975018516820787e+18,2.805592484514628e+18,2.771887230443061e+18,1.038317483498406e+18,0.0,0.0,0.0,4.385989266593808e+18,1.661985492662485e+18,3.364156760930648e+18,5.142472920274043e+17,0.0,7.416598317561283e+17,0.0,0.0,3.480326486597042e+18,2.1353391297543537e+18,2.8269254839946445e+18,1.0929315317200978e+18,0.0,1.922314111991939e+18,0.0,4.36630017443627e+17,3.437196768607994e+18,2.2420302405555976e+18,3.084511371568612e+18,7.022874885965742e+17,0.0,5.965560452879483e+17,0.0,0.0
38,RiscV,RiscV,floydwarshall,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021824395608064.0,1.5422877090604646e+17,5.14857100074025e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,RiscV,RiscV,floydwarshall,double,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.569474508446761e+18,6.155936768060293e+17,2.124800997996888e+18,6.641291437130383e+17,0.0,0.0,0.0,0.0,1.2493485369238487e+18,4.726679885127352e+17,1.0217489427794492e+18,4.17265315576021e+17,0.0,0.0,0.0,9.547635848590131e+16,3.124261259533353e+17,3.169699608343347e+17,4.836687054278492e+17,0.0,0.0,0.0,0.0,5.625111795623526e+16,1.0933632274729532e+18,3.231660180944978e+17,9.18752328486486e+17,1.9510057304798003e+17,0.0,0.0,0.0,1.531848361550807e+17,2.018935105032028e+17,3.633968393171763e+17,8.716044452537303e+17,6.910469235277824e+16,0.0,0.0,0.0,1.933848366924432e+17,3.7539233937752064e+17,2.782321217833533e+17,5.6471965174595584e+17,9.600165875600589e+16,2.083901982942167e+17,0.0,0.0,2.8926836666793984e+16,5.23907017073492e+17,4.5924662802959565e+17,3.016971945687122e+17,0.0,0.0,0.0,0.0,8.184084234344858e+16,2.376503115382784e+16,2.287026104654889e+17,1.5143200846197555e+17,0.0,7.755395817589965e+16,0.0,490704576970752.0,3608724937637888.0,1.0743568633167872e+17,1.3950939399664435e+17,1.832899970995323e+17,6.820892108862259e+16,1.784554616520704e+16,0.0,2.606962255803187e+16,1.8257146625078067e+17
5,RiscV,RiscV,floydwarshall,double,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.921104855359816e+17,3.5066191768715264e+17,2.2553574209958707e+17,4.259011547784806e+16,3.142411963124941e+16,0.0,0.0,5.198347094720512e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,RiscV,RiscV,floydwarshall,double,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0992998559884247e+18,1.4777432154140836e+18,2.287557031332152e+18,1.562997697764393e+18,0.0,1.887353353080406e+18,0.0,0.0,4.234298443402576e+18,3.091753854660772e+18,2.775100828053144e+18,2.3858783847448576e+18,0.0,2.1477607249302e+18,0.0,7.539541584610591e+17,4.341939257372312e+18,1.7776157704365015e+18,2.754454473584673e+18,3.0711201445760205e+18,0.0,2.7418307057082696e+18,0.0,0.0,3.1986002714794394e+18,4.328599982304133e+18,4.4004002906211615e+18,0.0,0.0,1.943294305678393e+18,0.0,2.0843060534653747e+17,3.014530754995552e+18,1.2910076581107466e+18,2.765960038135628e+18,1.4096176295759053e+17,0.0,1.1373717988499784e+18,0.0,0.0,3.4591848021402583e+18,1.04129839696026e+18,3.777596772474421e+18,4.7621411967074304e+17,0.0,5.6700594873696256e+17,0.0,0.0,3.292962558398431e+18,0.0,3.478033455097316e+18,5.3258577158917325e+17,0.0,1.0334107067010252e+18,0.0,1.4009091538865357e+17,4.2466264426511073e+18,1.2186448121571574e+18,1.528361019905147e+18,1.7302148620904038e+18,0.0,1.5600339641717228e+18,0.0,0.0,2.8654427507051725e+18,4.165461662519788e+17,3.334233826858631e+18,7.672335788650004e+17,0.0,3.905197639498465e+17,0.0,0.0
70,RiscV,RiscV,floydwarshall,double,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701183463123058e+18,3.208630291425919e+18,2.313663285666251e+18,2.374212291496248e+18,0.0,2.4631108302589133e+18,0.0,1.0299062195459196e+18,3.065271292472066e+18,2.7516487947884954e+18,1.6942185006644593e+18,2.2625917951897764e+18,0.0,1.0733458623750472e+18,0.0,0.0,4.550654876748612e+18,3.181761525777957e+18,3.171762292157055e+18,2.829212193302512e+18,0.0,2.961430665565831e+18,0.0,0.0,3.615887749086708e+18,2.408598143265407e+18,3.0432497238351544e+18,1.6307773669365514e+18,0.0,1.7111722827699978e+18,0.0,1.1790196500426916e+18,4.550687312341631e+18,1.8996761296487053e+18,4.045012568878613e+18,2.447384515446833e+18,0.0,3.4961883162172457e+18,0.0,0.0,4.800235769916555e+18,1.205555950862205e+18,2.622207414019031e+18,2.240170073039831e+17,0.0,7.93080279735468e+17,0.0,0.0,4.0403357961698673e+18,1.3228719174005555e+18,1.7356759989066138e+18,2.3552561269178368e+17,0.0,1.2411120953201787e+18,0.0,3.0614853303402496e+17,3.4278044654056243e+18,1.2761549052869345e+18,2.827786401599193e+18,4.0222268396603965e+18,0.0,1.9517954547064504e+18,0.0,0.0,3.8667438008649646e+18,1.315474540607832e+18,3.1960573759623004e+18,6.227618054243615e+17,0.0,0.0,0.0,0.0
23,RiscV,RiscV,floydwarshall,double,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583367546698203e+18,1.3176442893662945e+18,3.5092546375238287e+18,2.748390941835395e+18,0.0,1.050011751732478e+18,0.0,0.0,3.602223568332521e+18,2.247660564723532e+18,1.830662670991229e+18,7.331183443952271e+17,0.0,5.4664447085930086e+17,0.0,0.0,3.8607665807784673e+18,3.679133032305918e+18,2.054751387069186e+18,1.30529677378637e+18,0.0,1.231806790975357e+18,0.0,0.0,3.998014219227234e+18,2.627485344710263e+18,3.8811419056306913e+18,1.184117535704875e+18,0.0,2.087248690178687e+18,0.0,0.0,4.531370267431141e+18,2.2806336814899528e+18,2.533973530035356e+18,2.470013839135998e+18,0.0,5.89579781448663e+17,0.0,0.0,4.440182270581539e+18,5.385694856662221e+17,3.5445099281126523e+18,4.85269869235798e+17,0.0,1.245864596892287e+18,0.0,0.0,5.030206873203114e+18,1.819288498079793e+18,3.1306603484875325e+18,1.7350037849851822e+18,0.0,2.5495632305276846e+18,0.0,0.0,3.885591904066208e+18,7.386285469178266e+17,3.4296241571495936e+18,2.463682851183264e+18,0.0,1.2163545294365e+18,0.0,0.0,3.2599170113035305e+18,3.9563212880577823e+18,3.760329492116013e+18,2.413040719997436e+18,0.0,7.59471507809239e+17,0.0,1.0136636840245984e+18
72,RiscV,RiscV,floydwarshall,double,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4525891440961126e+17,1.165278228596654e+17,1.8690900526261865e+18,4.732743691754537e+17,0.0,0.0,0.0,2.777436122031063e+17,5.175336979230884e+17,1.9313033411035136e+17,5.144580203028152e+17,5.421127048364032e+16,0.0,0.0,0.0,3.0553500554572595e+17,1.5585711326704435e+17,7.958204173307085e+16,2.8659310025873818e+17,0.0,1.1617273429098496e+16,0.0,0.0,0.0,3.3464406049502e+17,3.123361377985495e+17,7.05081347642753e+17,4.601811098339901e+17,1.787720007417856e+17,0.0,0.0,0.0,1.0947830405817958e+17,1.9997608248344576e+17,7.041114409481011e+17,6.069623730890342e+16,0.0,0.0,0.0,2.3485917120639795e+17,1.5523084475826176e+16,5.139503895281664e+16,1.5255098488153702e+17,9.376806101372109e+16,2.2482130864963584e+16,0.0,0.0,0.0,1.1105385268117504e+16,2.293918324574126e+17,1.7947634101859123e+17,1.7410727112133837e+17,1.0382626453559706e+17,0.0,0.0,0.0,5.897526109326541e+16,6.40056384594903e+16,7.087600558512538e+16,8433273512394752.0,0.0,0.0,5118987910250496.0,4.08774543188951e+16,2.8189304882724864e+16,4.02112018120704e+16,3.882107122221056e+16,3.4566244690558976e+16,0.0,0.0,0.0,2.3298775946625024e+16
